set_number,sentID_in_set,theme,numerosity,tense,sentence,word_count,structure,sentID_in_dataset,Correction,Comment
3,1,art,plural,present,The painters create the sculpture.,5,baseline_a,49,,
3,2,art,plural,present,The painters quickly create the sculpture.,6,baseline_b,50,x,
3,3,art,plural,present,The talented painters create the sculpture.,6,baseline_c,51,,
3,4,art,plural,present,The talented painters quickly create the sculpture.,7,baseline_d,52,x,
3,5,art,plural,present,The painters in the attic create the sculpture.,8,control_a,53,,
3,6,art,plural,present,The painters in the attic quickly create the sculpture.,9,control_b,54,x,
3,7,art,plural,present,The talented painters in the attic create the sculpture.,9,control_c,55,,
3,8,art,plural,present,The talented painters in the attic quickly create the sculpture.,10,control_d,56,x,
3,9,art,plural,present,The painters who practiced daily create the sculpture.,8,standard_subject_a,57,,
3,10,art,plural,present,The painters who practiced daily quickly create the sculpture.,9,standard_subject_b,58,x,
3,11,art,plural,present,The talented painters who practiced daily create the sculpture.,9,standard_subject_c,59,,
3,12,art,plural,present,The talented painters who practiced daily quickly create the sculpture.,10,standard_subject_d,60,x,
3,13,art,plural,present,The painters who the curators hired create the sculpture.,9,standard_object_a,61,,
3,14,art,plural,present,The painters who the curators hired quickly create the sculpture.,10,standard_object_b,62,x,
3,15,art,plural,present,The talented painters who the curators hired create the sculpture.,10,standard_object_c,63,,
3,16,art,plural,present,The talented painters who the curators hired quickly create the sculpture.,11,standard_object_d,64,x,
3,17,art,plural,present,The painters who studied the techniquess that were in the books create the sculpture.,14,nested_subject_a,65,x,
3,18,art,plural,present,The painters who studied the techniques that were in the books quickly create the sculpture.,15,nested_subject_b,66,x,
3,19,art,plural,present,The talented painters who studied the techniques that were in the books create the sculpture.,15,nested_subject_c,67,x,
3,20,art,plural,present,The talented painters who studied the techniques that were in the books quickly create the sculpture.,16,nested_subject_d,68,x,
3,21,art,plural,present,The painters who the critics who the artists admired respected create the sculpture.,13,nested_object_a,69,,
3,22,art,plural,present,The painters who the critics who the artists admired respected quickly create the sculpture.,14,nested_object_b,70,x,
3,23,art,plural,present,The talented painters who the critics who the artists admired respected create the sculpture.,14,nested_object_c,71,,
3,24,art,plural,present,The talented painters who the critics who the artists admired respected quickly create the sculpture.,15,nested_object_d,72,x,
4,1,art,singular,present,The guitarist plays a new song.,6,baseline_a,73,,
4,2,art,singular,present,The guitarist skillfully plays a new song.,7,baseline_b,74,,
4,3,art,singular,present,The creative guitarist plays a new song.,7,baseline_c,75,,
4,4,art,singular,present,The creative guitarist skillfully plays a new song.,8,baseline_d,76,,
4,5,art,singular,present,The guitarist in the studio plays a new song.,9,control_a,77,,
4,6,art,singular,present,The guitarist in the studio skillfully plays a new song.,10,control_b,78,,
4,7,art,singular,present,The creative guitarist in the studio plays a new song.,10,control_c,79,,
4,8,art,singular,present,The creative guitarist in the studio skillfully plays a new song.,11,control_d,80,,
4,9,art,singular,present,The guitarist who studied music plays a new song.,9,standard_subject_a,81,,
4,10,art,singular,present,The guitarist who studied music skillfully plays a new song.,10,standard_subject_b,82,,
4,11,art,singular,present,The creative guitarist who studied music plays a new song.,10,standard_subject_c,83,,
4,12,art,singular,present,The creative guitarist who studied music skillfully plays a new song.,11,standard_subject_d,84,,
4,13,art,singular,present,The guitarist who the singer found plays a new song.,10,standard_object_a,85,,
4,14,art,singular,present,The guitarist who the singer found skillfully plays a new song.,11,standard_object_b,86,,
4,15,art,singular,present,The creative guitarist who the singer found plays a new song.,11,standard_object_c,87,,
4,16,art,singular,present,The creative guitarist who the singer found skillfully plays a new song.,12,standard_object_d,88,,
4,17,art,singular,present,The guitarist who put together the band that had success plays a new song.,14,nested_subject_a,89,,
4,18,art,singular,present,The guitarist who put together the band that had success skillfully plays a new song.,15,nested_subject_b,90,,
4,19,art,singular,present,The creative guitarist who put together the band that had success plays a new song.,15,nested_subject_c,91,,
4,20,art,singular,present,The creative guitarist who put together the band that had success skillfully plays a new song.,16,nested_subject_d,92,,
4,21,art,singular,present,The guitarist who the drummer who the company hired welcomes plays a new song.,16,nested_object_a,93,x,
4,22,art,singular,present,The guitarist who the drummer who the company hired welcomes skillfully plays a new song.,15,nested_object_b,94,x,
4,23,art,singular,present,The creative guitarist who the drummer who the company hired welcomes plays a new song.,15,nested_object_c,95,x,
4,24,art,singular,present,The creative guitarist who the drummer who the company hired welcomes skillfully plays a new song.,16,nested_object_d,96,x,
5,1,basic,singular,present,The parent cooks the meal.,5,baseline_a,97,,
5,2,basic,singular,present,The parent slowly cooks the meal.,6,baseline_b,98,,
5,3,basic,singular,present,The elderly parent cooks the meal.,6,baseline_c,99,,
5,4,basic,singular,present,The elderly parent slowly cooks the meal.,7,baseline_d,100,,
5,5,basic,singular,present,The parent in the kitchen cooks the meal.,8,control_a,101,,
5,6,basic,singular,present,The parent in the kitchen slowly cooks the meal.,9,control_b,102,,
5,7,basic,singular,present,The elderly parent in the kitchen cooks the meal.,9,control_c,103,,
5,8,basic,singular,present,The elderly parent in the kitchen slowly cooks the meal.,10,control_d,104,,
5,9,basic,singular,present,The parent who studied cooking cooks the meal.,8,standard_subject_a,105,,
5,10,basic,singular,present,The parent who studied cooking slowly cooks the meal.,9,standard_subject_b,106,,
5,11,basic,singular,present,The elderly parent who studied cooking cooks the meal.,9,standard_subject_c,107,,
5,12,basic,singular,present,The elderly parent who studied cooking slowly cooks the meal.,10,standard_subject_d,108,,
5,13,basic,singular,present,The parent who the guest visited cooks the meal.,9,standard_object_a,109,,
5,14,basic,singular,present,The parent who the guest visited slowly cooks the meal.,10,standard_object_b,110,,
5,15,basic,singular,present,The elderly parent who theguest visited cooks the meal.,10,standard_object_c,111,,
5,16,basic,singular,present,The elderly parent who the guest visited slowly cooks the meal.,11,standard_object_d,112,,
5,17,basic,singular,present,The parent who saw the recipe that was in the book cooks the meal.,14,nested_subject_a,113,,
5,18,basic,singular,present,The parent who saw the recipe that was in the book slowly cooks the meal.,15,nested_subject_b,114,,
5,19,basic,singular,present,The elderly parent who saw the recipe that was in the book cooks the meal.,15,nested_subject_c,115,,
5,20,basic,singular,present,The elderly parent who saw the recipe that was in the book slowly cooks the meal.,16,nested_subject_d,116,,
5,21,basic,singular,present,The parent who the friend who the child trusted invited cooks the meal.,13,nested_object_a,117,,
5,22,basic,singular,present,The parent who the friend who the child trusted invited slowly cooks the meal.,14,nested_object_b,118,,
5,23,basic,singular,present,The elderly parent who the friend who the child trusted invited cooks the meal.,14,nested_object_c,119,,
5,24,basic,singular,present,The elderly parent who the friend who the child trusted invited slowly cooks the meal.,15,nested_object_d,120,,
6,1,basic,plural,present,The teachers eat their sandwiches.,5,baseline_a,121,,
6,2,basic,plural,present,The teachers delicately eat their sandwiches.,6,baseline_b,122,,
6,3,basic,plural,present,The nice teachers eat their sandwiches.,6,baseline_c,123,,
6,4,basic,plural,present,The nice teachers delicately eat their sandwiches.,7,baseline_d,124,,
6,5,basic,plural,present,The teachers at home eat their sandwiches.,7,control_a,125,,
6,6,basic,plural,present,The teachers at home delicately eat their sandwiches.,8,control_b,126,,
6,7,basic,plural,present,The nice teachers at home eat their sandwiches.,8,control_c,127,,
6,8,basic,plural,present,The nice teachers at home delicately eat their sandwiches.,9,control_d,128,,
6,9,basic,plural,present,The teachers who read books eat their sandwiches.,8,standard_subject_a,129,,
6,10,basic,plural,present,The teachers who read books delicately eat their sandwiches.,9,standard_subject_b,130,,
6,11,basic,plural,present,The nice teachers who read books eat their sandwiches.,9,standard_subject_c,131,,
6,12,basic,plural,present,The nice teachers who read books delicately eat their sandwiches.,10,standard_subject_d,132,,
6,13,basic,plural,present,The teachers who the students respected eat their sandwiches.,9,standard_object_a,133,,
6,14,basic,plural,present,The teachers who the students respected delicately eat their sandwiches.,10,standard_object_b,134,,
6,15,basic,plural,present,The nice teachers who the students respected eat their sandwiches.,10,standard_object_c,135,,
6,16,basic,plural,present,The nice teachers who the students respected delicately eat their sandwiches.,11,standard_object_d,136,,
6,17,basic,plural,present,The teachers who studied the textbooks that were on the shelves eat their sandwiches.,14,nested_subject_a,137,,
6,18,basic,plural,present,The teachers who studied the textbooks that were on the shelves delicately eat their sandwiches.,15,nested_subject_b,138,,
6,19,basic,plural,present,The nice teachers who studied the textbooks that were on the shelves eat their sandwiches.,15,nested_subject_c,139,,
6,20,basic,plural,present,The nice teachers who studied the textbooks that were on the shelves delicately eat their sandwiches.,16,nested_subject_d,140,,
6,21,basic,plural,present,The teachers who the parent who the principals trusted recommended eat their sandwiches.,13,nested_object_a,141,,
6,22,basic,plural,present,The teachers who the parent who the principals trusted recommended delicately eat their sandwiches.,14,nested_object_b,142,,
6,23,basic,plural,present,The nice teachers who the parent who the principals trusted recommended eat their sandwiches.,14,nested_object_c,143,,
6,24,basic,plural,present,The nice teachers who the parent who the principals trusted recommended delicately eat their sandwiches.,15,nested_object_d,144,,
7,1,communication,singular,present,The speaker uses his phone.,6,baseline_a,145,,
7,2,communication,singular,present,The speaker immediately uses his phone.,7,baseline_b,146,x,
7,3,communication,singular,present,The skilled speaker uses his phone.,7,baseline_c,147,,
7,4,communication,singular,present,The skilled speaker immediately uses his phone.,8,baseline_d,148,x,
7,5,communication,singular,present,The speaker in the office uses his phone.,9,control_a,149,,
7,6,communication,singular,present,The speaker in the office immediately uses his phone.,10,control_b,150,x,
7,7,communication,singular,present,The skilled speaker in the office uses his phone.,10,control_c,151,,
7,8,communication,singular,present,The skilled speaker in the office immediately uses his phone.,11,control_d,152,x,
7,9,communication,singular,present,The speaker who studied linguistics uses his phone.,9,standard_subject_a,153,,
7,10,communication,singular,present,The speaker who studied linguistics immediately uses his phone.,10,standard_subject_b,154,x,
7,11,communication,singular,present,The skilled speaker who studied linguistics uses his phone.,10,standard_subject_c,155,,
7,12,communication,singular,present,The skilled speaker who studied linguistics immediately uses his phone.,11,standard_subject_d,156,x,
7,13,communication,singular,present,The speaker who the manager trained uses his phone.,10,standard_object_a,157,,
7,14,communication,singular,present,The speaker who the manager trained immediately uses his phone.,11,standard_object_b,158,x,
7,15,communication,singular,present,The skilled speaker who the manager trained uses his phone.,11,standard_object_c,159,,
7,16,communication,singular,present,The skilled speaker who the manager trained immediately uses his phone.,12,standard_object_d,160,x,
7,17,communication,singular,present,The speaker who read the text that explained grammar uses his phone.,13,nested_subject_a,161,,
7,18,communication,singular,present,The speaker who read the text that explained grammar immediately uses his phone.,14,nested_subject_b,162,x,
7,19,communication,singular,present,The skilled speaker who read the text that explained grammar uses his phone.,14,nested_subject_c,163,,
7,20,communication,singular,present,The skilled speaker who read the text that explained grammar immediately uses his phone.,15,nested_subject_d,164,x,
7,21,communication,singular,present,The speaker who the trainer who the company hired coached uses his phone.,14,nested_object_a,165,,
7,22,communication,singular,present,The speaker who the trainer who the company hired coached immediately uses his phone.,15,nested_object_b,166,x,
7,23,communication,singular,present,The skilled speaker who the trainer who the company hired coached uses his phone.,15,nested_object_c,167,,
7,24,communication,singular,present,The skilled speaker who the trainer who the company hired coached immediately uses his phone.,16,nested_object_d,168,x,
8,1,communication,singular,present,The man sends text messages on his phone.,6,baseline_a,169,,
8,2,communication,singular,present,The man casually sends text messages on his phone.,7,baseline_b,170,,
8,3,communication,singular,present,The active man sends text messages on his phone.,7,baseline_c,171,,
8,4,communication,singular,present,The active man casually sends text messages on his phone.,8,baseline_d,172,,
8,5,communication,singular,present,The man in the office sends text messages on his phone.,8,control_a,173,,
8,6,communication,singular,present,The man in the office casually sends text messages on his phone.,9,control_b,174,,
8,7,communication,singular,present,The active man in the office sends text messages on his phone.,9,control_c,175,,
8,8,communication,singular,present,The active man in the office casually sends text messages on his phone.,10,control_d,176,,
8,9,communication,singular,present,The man who studied languages sends text messages on his phone.,9,standard_subject_a,177,,
8,10,communication,singular,present,The man who studied languages casually sends text messages on his phone.,10,standard_subject_b,178,,
8,11,communication,singular,present,The active man who studied languages sends text messages on his phone.,10,standard_subject_c,179,,
8,12,communication,singular,present,The active man who studied languages casually sends text messages on his phone.,11,standard_subject_d,180,,
8,13,communication,singular,present,The man who the colleague recommended sends text messages on his phone.,9,standard_object_a,181,,
8,14,communication,singular,present,The man who the colleague recommended casually sends text messages on his phone.,10,standard_object_b,182,,
8,15,communication,singular,present,The active man who the colleague recommended sends text messages on his phone.,10,standard_object_c,183,,
8,16,communication,singular,present,The active man who the colleague recommended casually sends text messages on his phone.,11,standard_object_d,184,,
8,17,communication,singular,present,The man who read the article that generated the discussion sends text messages on his phone.,12,nested_subject_a,185,,
8,18,communication,singular,present,The man who read the article that generated the discussion casually sends text messages on his phone.,13,nested_subject_b,186,,
8,19,communication,singular,present,The active man who read the article that generated the discussion sends text messages on his phone.,13,nested_subject_c,187,,
8,20,communication,singular,present,The active man who read the article that generated the discussion casually sends text messages on his phone.,14,nested_subject_d,188,,
8,21,communication,singular,present,The man who the friend who the trainer taught appreciated sends text messages on his phone.,12,nested_object_a,189,x,
8,22,communication,singular,present,The man who the friend who the trainer taught appreciated casually sends text messages on his phone.,13,nested_object_b,190,x,
8,23,communication,singular,present,The active man who the friend who the trainer taught appreciated sends text messages on his phone.,13,nested_object_c,191,x,
8,24,communication,singular,present,The active man who the friend who the trainer taught appreciated casually sends text messages on his phone.,14,nested_object_d,192,x,
9,1,communication,plural,present,The teachers communicate the trip date to the parent.,5,baseline_a,193,,
9,2,communication,plural,present,The teachers deliberately communicate the trip date to the parent.,6,baseline_b,194,,
9,3,communication,plural,present,The experienced teachers communicate the trip date to the parent.,6,baseline_c,195,,
9,4,communication,plural,present,The experienced teachers deliberately communicate the trip date to the parent.,7,baseline_d,196,,
9,5,communication,plural,present,The teachers in the office communicate the trip date to the parent.,8,control_a,197,,
9,6,communication,plural,present,The teachers in the office deliberately communicate the trip date to the parent.,9,control_b,198,,
9,7,communication,plural,present,The experienced teachers in the office communicate the trip date to the parent.,9,control_c,199,,
9,8,communication,plural,present,The experienced teachers in the office deliberately communicate the trip date to the parent.,10,control_d,200,,
9,9,communication,plural,present,The teachers who prepared well communicate the trip date to the parent.,8,standard_subject_a,201,,
9,10,communication,plural,present,The teachers who prepared well deliberately communicate the trip date to the parent.,9,standard_subject_b,202,,
9,11,communication,plural,present,The experienced teachers who prepared well communicate the trip date to the parent.,9,standard_subject_c,203,,
9,12,communication,plural,present,The experienced teachers who prepared well deliberately communicate the trip date to the parent.,10,standard_subject_d,204,,
9,13,communication,plural,present,The teachers who the students liked communicate the trip date to the parent.,9,standard_object_a,205,,
9,14,communication,plural,present,The teachers who the students liked deliberately communicate the trip date to the parent.,10,standard_object_b,206,,
9,15,communication,plural,present,The experienced teachers who the students liked communicate the trip date to the parent.,10,standard_object_c,207,,
9,16,communication,plural,present,The experienced teachers who the students liked deliberately communicate the trip date to the parent.,11,standard_object_d,208,,
9,17,communication,plural,present,The teachers who read the atlases that were there communicate the trip date to the parent.,12,nested_subject_a,209,,
9,18,communication,plural,present,The teachers who read the atlases that were there deliberately communicate the trip date to the parent.,13,nested_subject_b,210,,
9,19,communication,plural,present,The experienced teachers who read the atlases that were there communicate the trip date to the parent.,13,nested_subject_c,211,,
9,20,communication,plural,present,The experienced teachers who read the atlases that were there deliberately communicate the trip date to the parent.,14,nested_subject_d,212,,
9,21,communication,plural,present,The teachers who the staff who the principals trusted helped communicate the trip date to the parent.,13,nested_object_a,213,,
9,22,communication,plural,present,The teachers who the staff who the principals trusted helped deliberately communicate the trip date to the parent.,14,nested_object_b,214,,
9,23,communication,plural,present,The experienced teachers who the staff who the principals trusted helped communicate the trip date to the parent.,14,nested_object_c,215,,
9,24,communication,plural,present,The experienced teachers who the staff who the principals trusted helped deliberately communicate the trip date to the parent.,15,nested_object_d,216,,
10,1,communication,plural,present,The secretaries type a message.,5,baseline_a,217,,
10,2,communication,plural,present,The secretaries quickly type a message.,6,baseline_b,218,,
10,3,communication,plural,present,The busy secretaries type a message.,6,baseline_c,219,,
10,4,communication,plural,present,The busy secretaries quickly type a message.,7,baseline_d,220,,
10,5,communication,plural,present,The secretaries at the table type a message.,8,control_a,221,,
10,6,communication,plural,present,The secretaries at the table quickly type a message.,9,control_b,222,,
10,7,communication,plural,present,The busy secretaries at the table type a message.,9,control_c,223,,
10,8,communication,plural,present,The busy secretaries at the table quickly type a message.,10,control_d,224,,
10,9,communication,plural,present,The secretaries who prepared well type a message.,8,standard_subject_a,225,,
10,10,communication,plural,present,The secretaries who prepared well quickly type a message.,9,standard_subject_b,226,,
10,11,communication,plural,present,The busy secretaries who prepared well type a message.,9,standard_subject_c,227,,
10,12,communication,plural,present,The busy secretaries who prepared well quickly type a message.,10,standard_subject_d,228,,
10,13,communication,plural,present,The secretaries who the managers chose type a message.,9,standard_object_a,229,,
10,14,communication,plural,present,The secretaries who the managers chose quickly type a message.,10,standard_object_b,230,,
10,15,communication,plural,present,The busy secretaries who the managers chose writes a message.,10,standard_object_c,231,,
10,16,communication,plural,present,The busy secretaries who the managers chose quickly type a message.,11,standard_object_d,232,,
10,17,communication,plural,present,The secretaries who reviewed the texts that were already edited type a message.,13,nested_subject_a,233,,
10,18,communication,plural,present,The secretaries who reviewed the texts that were already edited quickly type a message.,14,nested_subject_b,234,,
10,19,communication,plural,present,The busy secretaries who reviewed the texts that were already edited type a message.,14,nested_subject_c,235,,
10,20,communication,plural,present,The busy secretaries who reviewed the texts that were already edited quickly type a message.,15,nested_subject_d,236,,
10,21,communication,plural,present,The secretaries who the editors who the chiefs hired recommended type a message.,14,nested_object_a,237,x,
10,22,communication,plural,present,The secretaries who the editors who the chiefs hired recommended quickly type a message.,6,nested_object_b,238,x,
10,23,communication,plural,present,The busy secretaries who the editors who the chiefs hired recommended type a message.,14,nested_object_c,239,x,
10,24,communication,plural,present,The busy secretaries who the editors who the chiefs hired recommended quickly type a message.,15,nested_object_d,240,x,
11,1,daily routine,singular,present,The employee eats his breakfast.,5,baseline_a,241,,
11,2,daily routine,singular,present,The employee expeditiously eats his breakfast.,6,baseline_b,242,,
11,3,daily routine,singular,present,The new employee eats his breakfast.,6,baseline_c,243,,
11,4,daily routine,singular,present,The new employee expeditiously eats his breakfast.,7,baseline_d,244,,
11,5,daily routine,singular,present,The employee in the cafeteria eats his breakfast.,8,control_a,245,,
11,6,daily routine,singular,present,The employee in the cafeteria expeditiously eats his breakfast.,9,control_b,246,,
11,7,daily routine,singular,present,The new employee in the cafeteria eats his breakfast.,9,control_c,247,,
11,8,daily routine,singular,present,The new employee in the cafeteria expeditiously eats his breakfast.,10,control_d,248,,
11,9,daily routine,singular,present,The employee who trained hard eats his breakfast.,8,standard_subject_a,249,,
11,10,daily routine,singular,present,The employee who trained hard expeditiously eats his breakfast.,9,standard_subject_b,250,,
11,11,daily routine,singular,present,The new employee who trained hard eats his breakfast.,9,standard_subject_c,251,,
11,12,daily routine,singular,present,The new employee who trained hard expeditiously eats his breakfast.,10,standard_subject_d,252,,
11,13,daily routine,singular,present,The employee who the supervisor guided eats his breakfast.,9,standard_object_a,253,,
11,14,daily routine,singular,present,The employee who the supervisor guided expeditiously eats his breakfast.,10,standard_object_b,254,,
11,15,daily routine,singular,present,The new employee who the supervisor guided eats his breakfast.,10,standard_object_c,255,,
11,16,daily routine,singular,present,The new employee who the supervisor guided expeditiously eats his breakfast.,11,standard_object_d,256,,
11,17,daily routine,singular,present,The employee who received the newsletter that was on the table eats his breakfast.,14,nested_subject_a,257,,
11,18,daily routine,singular,present,The employee who received the newsletter that was on the table expeditiously eats his breakfast.,15,nested_subject_b,258,,
11,19,daily routine,singular,present,The new employee who received the newsletter that was on the table eats his breakfast.,15,nested_subject_c,259,,
11,20,daily routine,singular,present,The new employee who received the newsletter that was on the table expeditiously eats his breakfast.,16,nested_subject_d,260,,
11,21,daily routine,singular,present,The employee who the colleague who the manager supported accepted eats his breakfast.,13,nested_object_a,261,,
11,22,daily routine,singular,present,The employee who the colleague who the manager supported accepted expeditiously eats his breakfast.,14,nested_object_b,262,,
11,23,daily routine,singular,present,The new employee who the colleague who the manager supported accepted eats his breakfast.,14,nested_object_c,263,,
11,24,daily routine,singular,present,The new employee who the colleague who the manager supported accepted expeditiously eats his breakfast.,15,nested_object_d,264,,
12,1,daily routine,singular,present,The athlete wakes his teammates.,5,baseline_a,265,,
12,2,daily routine,singular,present,The athlete energetically wakes his teammates.,6,baseline_b,266,,
12,3,daily routine,singular,present,The exhausted athlete wakes his teammates.,6,baseline_c,267,,
12,4,daily routine,singular,present,The exhausted athlete energetically wakes his teammates.,7,baseline_d,268,,
12,5,daily routine,singular,present,The athlete in the hallway wakes his teammates.,8,control_a,269,,
12,6,daily routine,singular,present,The athlete in the hallway energetically wakes his teammates.,9,control_b,270,,
12,7,daily routine,singular,present,The exhausted athlete in the hallway wakes his teammates.,9,control_c,271,,
12,8,daily routine,singular,present,The exhausted athlete in the hallway energetically wakes his teammates.,10,control_d,272,,
12,9,daily routine,singular,present,The athlete who trained well wakes his teammates.,8,standard_subject_a,273,,
12,10,daily routine,singular,present,The athlete who trained well energetically wakes his teammates.,9,standard_subject_b,274,,
12,11,daily routine,singular,present,The exhausted athlete who trained well wakes his teammates.,9,standard_subject_c,275,,
12,12,daily routine,singular,present,The exhausted athlete who trained well energetically wakes his teammates.,10,standard_subject_d,276,,
12,13,daily routine,singular,present,The athlete who the coach trained wakes his teammates.,9,standard_object_a,277,,
12,14,daily routine,singular,present,The athlete who the coach trained energetically wakes his teammates.,10,standard_object_b,278,,
12,15,daily routine,singular,present,The exhausted athlete who the coach trained wakes his teammates.,10,standard_object_c,279,,
12,16,daily routine,singular,present,The exhausted athlete who the coach trained energetically wakes his teammates.,11,standard_object_d,280,,
12,17,daily routine,singular,present,The athlete who heard the news that were useful wakes his teammates.,12,nested_subject_a,281,x,
12,18,daily routine,singular,present,The athlete who heard the news that were useful energetically wakes his teammates.,13,nested_subject_b,282,x,
12,19,daily routine,singular,present,The exhausted athlete who heard the news that were useful wakes his teammates.,13,nested_subject_c,283,x,
12,20,daily routine,singular,present,The exhausted athlete who heard the news that were useful energetically wakes his teammates.,14,nested_subject_d,284,x,
12,21,daily routine,singular,present,The athlete who the trainer who the physician taught recommended wakes his teammates.,13,nested_object_a,285,,
12,22,daily routine,singular,present,The athlete who the trainer who the physician taught recommended energetically wakes his teammates.,14,nested_object_b,286,,
12,23,daily routine,singular,present,The exhausted athlete who the trainer who the physician taught recommended wakes his teammates.,14,nested_object_c,287,,
12,24,daily routine,singular,present,The exhausted athlete who the trainer who the physician taught recommended energetically wakes his teammates.,15,nested_object_d,288,,
13,1,daily routine,plural,present,The women eat breakfast.,5,baseline_a,289,x,
13,2,daily routine,plural,present,The women slowly eat breakfast.,6,baseline_b,290,x,
13,3,daily routine,plural,present,The young women eat breakfast.,6,baseline_c,291,x,
13,4,daily routine,plural,present,The young women slowly eat breakfast.,7,baseline_d,292,x,
13,5,daily routine,plural,present,The women in the kitchen eat breakfast.,8,control_a,293,x,
13,6,daily routine,plural,present,The women in the kitchen slowly eat breakfast.,9,control_b,294,x,
13,7,daily routine,plural,present,The young women in the kitchen eat breakfast.,9,control_c,295,x,
13,8,daily routine,plural,present,The young women in the kitchen slowly eat breakfast.,10,control_d,296,x,
13,9,daily routine,plural,present,The women who woke up early eat breakfast.,9,standard_subject_a,297,x,
13,10,daily routine,plural,present,The women who woke up early slowly eat breakfast.,10,standard_subject_b,298,x,
13,11,daily routine,plural,present,The young women who woke up early eat breakfast.,10,standard_subject_c,299,x,
13,12,daily routine,plural,present,The young women who woke up early slowly eat breakfast.,11,standard_subject_d,300,x,
